"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","266/3790","476/8163",1.28492549008876e-05,0.000389415602074327,0.000277605540686992,"5608/5332/10010/64446/8323/7855/351/8324/2891/823/6262/6391/3309/3710/5705/27089/4722/572/516/7345/5691/4728/5530/5702/54539/10131/3831/10383/8322/55669/7317/6622/10133/1345/120892/23236/5700/5714/515/3028/5879/3708/10452/7326/2776/10126/7482/824/4744/7472/9377/627/2882/4704/5532/5621/776/9217/11211/126328/5602/3798/355/7494/23401/5970/5685/65018/4724/5690/1131/1337/468/8878/1459/1347/4705/9927/10376/489/291/637/4217/146754/53349/7846/518/4708/56171/1020/1349/7314/7381/8701/840/7419/1770/1460/498/84557/51465/5709/8678/84790/7979/1351/8312/2521/5719/3092/4287/56901/5713/25978/5481/29110/1536/10381/5601/9821/203068/7384/22863/3800/1452/5599/8321/4741/1340/5603/5861/4712/6647/91860/6233/84516/5684/1457/847/5664/4893/7132/25981/2906/5663/27429/817/4041/4512/4707/7327/5692/23435/22926/5689/4700/841/6389/4710/9451/1499/4702/5594/9706/196385/100506742/5289/1767/10121/7332/5868/79139/6263/2475/5682/293/1768/127602/488/1329/5715/522/5335/581/1327/374291/80208/2904/27019/4701/513/29796/201625/7976/4716/4726/7802/506/10213/4513/55626/1454/5693/4541/83544/26100/7186/2915/539/27123/11258/55967/5694/7476/55255/3799/2081/64837/5695/3845/1857/517/51079/118424/4706/292/11315/8313/5600/5686/7475/5579/596/10120/5683/347733/55860/836/9896/4696/356/1350/369/10540/4842/2903/2932/4694/55567/2902/7474/1639/51164/4723/27035/140775/7415/6804/5704/4218/7385/7318/775/84617/90550/1346",266
"hsa04115","hsa04115","p53 signaling pathway","52/3790","73/8163",1.43364175793301e-05,0.000389415602074327,0.000277605540686992,"7057/64065/9134/595/27244/7157/983/3479/143686/355/898/64326/9538/891/51512/9540/6241/1111/637/9133/4194/1029/896/8795/4193/545/1017/7249/894/900/1019/841/55367/8797/1026/55240/8493/5728/581/83667/5366/5268/472/2810/596/836/5054/3486/901/50484/1643/3732",52
"hsa04510","hsa04510","Focal adhesion","123/3790","201/8163",1.46437765630825e-05,0.000389415602074327,0.000277605540686992,"3696/5295/1292/330/1284/10398/3082/7057/4638/7058/3913/56924/7410/572/8395/80310/595/1956/3909/22801/3911/10298/6714/5500/5879/56034/858/4660/7450/857/55742/10000/2321/5154/824/3371/2335/3479/5499/4233/5156/1298/5602/3910/3918/5290/10319/29780/4659/5906/3655/5923/6093/3679/8503/208/394/1286/2885/331/8394/1285/1277/3672/9475/896/1293/5601/5291/91807/894/1288/5599/2534/7060/5747/7791/2316/7094/207/5293/7423/7424/2909/1729/1499/5594/2324/6654/1299/2002/2064/5728/1101/5296/1297/87/2889/7422/131873/3673/5063/64098/399694/7059/10451/10627/3675/83660/5649/5579/3791/596/8516/1398/2317/81/1291/2932/3676/60/3915/5829",123
"hsa05020","hsa05020","Prion disease","161/3790","273/8163",1.57112923027106e-05,0.000389415602074327,0.000277605540686992,"5295/1958/4684/730/6262/6391/3309/3710/5705/27089/4722/572/516/5691/4728/5530/5702/54539/3831/10383/1345/5700/5714/515/5879/3708/858/857/5566/9377/4704/5532/5621/776/126328/5602/3798/5290/5685/1535/4724/5690/1337/468/1459/1347/4705/10376/291/7846/518/5580/4708/8503/1349/7381/4689/7419/1460/498/5709/84790/7979/1351/5719/56901/5713/712/1536/10381/5601/203068/5291/7384/3800/5599/5567/4688/1340/5603/3310/9586/4712/6647/1385/5684/1457/2534/653361/148327/2906/4512/5293/4707/5692/5689/4700/6389/4710/9451/4702/5594/100506742/713/6263/5682/293/714/1386/1329/5715/522/581/1327/374291/2904/4851/4701/513/5296/29796/4716/4726/506/10213/4513/64764/5693/4541/539/55967/5694/3799/729/64837/5695/517/51079/3306/4706/292/5600/5686/5683/347733/90993/836/4696/1350/2903/2932/4694/2902/4723/3915/5704/7385/775/84617/90550/1346",161
"hsa01522","hsa01522","Endocrine resistance","66/3790","98/8163",2.13701292330774e-05,0.000494362322925191,0.000352419675071803,"5295/2099/572/2100/595/1956/6714/9611/2778/115/7157/10000/5566/3479/5602/5290/4853/10498/8202/8503/1029/208/1870/2885/109/4193/5601/5291/1869/5599/5567/5603/4855/4893/5747/1019/1027/1565/207/5925/5293/5594/2852/1026/6654/196883/6667/2475/2064/111/28514/6198/581/4851/5296/54567/3845/399694/5600/3714/596/2353/369/6199/638/4313",66
"hsa04071","hsa04071","Sphingolipid signaling pathway","77/3790","119/8163",4.02726589534628e-05,0.000837852129412863,0.0005972857588716,"5295/5332/9846/5529/5590/6610/5337/10672/1901/5518/23236/1903/5879/5338/2768/2776/7157/259230/10000/9517/5522/8879/5602/5290/5970/55844/5516/2770/6093/637/4217/5581/8503/5527/208/123099/81537/9475/2206/2773/5601/5291/5599/5519/5603/253782/2534/53637/4893/10558/7132/207/5293/624/5594/5528/5728/581/5296/7186/5523/91012/2205/3845/140/2207/4363/55012/5600/5579/596/5515/28227/9294/130367/5520/4846",77
"hsa04340","hsa04340","Hedgehog signaling pathway","41/3790","56/8163",4.1047510662878e-05,0.000837852129412863,0.0005972857588716,"55733/2737/91653/595/408/339745/2619/50937/5566/1455/5727/2121/2736/23432/2735/3549/64399/6608/57758/1453/23295/8945/84976/894/1452/5567/57154/51684/53944/132884/23288/1456/57467/156/11127/8405/1454/596/409/730094/2932",41
"hsa04218","hsa04218","Cellular senescence","97/3790","156/8163",4.73053631044222e-05,0.000911942277624139,0.000650102943247908,"5295/10111/5608/9134/823/3710/5530/595/22808/10758/5500/3708/2626/7157/10000/1875/5928/824/983/4772/3133/5532/7048/776/5499/4683/890/993/5290/2305/898/5970/7248/891/54822/8878/10114/1111/291/9133/28996/8503/1029/208/1870/7419/2309/896/5481/4087/4193/545/8945/1874/3364/5291/1017/7249/894/4776/4773/1869/4605/5603/91860/22800/4893/1019/6009/207/5925/5293/4088/204851/5594/1026/7046/83593/2475/5728/293/2113/5296/8900/23411/85417/3845/5810/292/678/5600/472/5054/3486/3805/3135/90550",97
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","132/3790","222/8163",5.29682022637164e-05,0.000967366641342611,0.000689613713682735,"5295/1958/9134/4487/4215/958/6776/5530/29945/595/1959/3718/4214/115/7157/10000/6929/64784/8850/4772/5566/4488/6777/3133/5532/7048/9700/821/5602/890/4085/5290/898/3383/5970/1739/8829/468/996/811/1111/291/9184/9133/701/8697/5902/8503/1029/208/1870/7419/51433/991/3123/51434/331/109/9232/896/3716/4087/545/5601/5291/1017/894/4776/4773/1869/5599/5567/3113/8379/9586/1385/25906/4893/1019/8881/3689/7132/148327/7094/207/51529/5901/3122/5925/5293/4088/7514/5594/3111/1026/7046/196883/2002/111/5728/6688/293/3119/1386/3554/581/4089/2113/5296/8900/3115/64764/6513/4801/10524/3845/4316/3551/292/119504/472/83660/2224/90993/2353/3559/3112/200186/706/3135/3125/915",132
"hsa04714","hsa04714","Thermogenesis","137/3790","232/8163",6.11033846303899e-05,0.00106014372333727,0.000755752388849559,"2181/2182/6391/5564/6597/27089/4722/516/9658/4728/54539/51703/6599/1345/515/5468/155/6197/4881/2260/2778/6598/115/5566/9377/4704/86/126328/5565/11343/8289/5592/7248/23028/6595/6195/4724/57492/1337/28958/123096/1347/4705/55744/4217/6604/518/4708/1349/7381/10818/498/1351/2885/109/56901/6605/7384/7249/1268/5567/1340/5603/9586/4712/1385/6603/27330/4893/148327/6009/1352/4512/4707/4700/6389/4710/64223/4702/6654/1355/196883/2475/90639/111/6196/1386/6198/79133/8110/1329/522/1327/374291/51241/4701/513/6601/29796/4716/4726/506/4513/64764/4541/539/63976/55967/788/6602/5571/10063/3845/517/51079/353500/4706/5346/5600/90993/51548/57104/4696/65260/1350/284184/29078/6199/4694/1374/60/4723/84335/9551/7385/51287/1346",137
"hsa04390","hsa04390","Hippo signaling pathway","97/3790","157/8163",6.78271126590167e-05,0.00112076229012756,0.000798965988715234,"330/10207/8323/7855/8324/23513/151449/3397/5590/595/23286/5518/8322/64398/5500/7534/7482/8463/999/7472/25937/5522/7048/6934/5499/11211/51176/3993/1740/1739/2736/7531/26524/55844/5516/10413/652/5584/9231/60485/659/29119/332/1496/654/8312/10971/84612/8994/896/1453/4087/2246/8945/56288/655/894/8321/5519/55233/4771/7005/122786/3689/83439/1741/4088/126374/1499/7046/4092/4089/3996/7976/1454/85407/7529/7476/1495/1857/353500/8313/6932/7475/658/6591/650/8200/7004/5515/85409/5054/2932/7474/60/5520/1490",97
